1.001,2
1.002,1
1.003,3
1.004,2
1.005,1
1.006,1
1.007,2
1.008,3
1.009,2
1.010,3
1.011,3
1.012,1
1.013,3
1.014,2
1.015,2
1.016,3
1.017,1
1.018,1
1.019,1
1.020,1
1.021,3
1.022,1
1.023,3
1.024,2
1.025,1
1.026,2
1.027,1
1.028,1
1.029,2
1.030,3
1.031,1
1.032,1
1.033,3
1.034,3
1.035,2
1.036,3
1.037,2
1.038,1
1.039,2
1.040,1
2.001,2
2.002,2
2.003,3
2.004,3
2.005,3
2.006,1
2.007,2
2.008,1
2.009,3
2.010,1
2.011,2
2.012,1
2.013,3
2.014,2
2.015,3
2.016,1
2.017,3
2.018,1
2.019,1
2.020,2
2.021,2
2.022,1
2.023,3
2.024,2
2.025,3
2.026,3
2.027,3
2.028,2
2.029,1
2.030,1
2.031,1
2.032,3
2.033,2
2.034,3
2.035,1
2.036,2
2.037,2
2.038,1
2.039,2
2.040,3
2.041,1
2.042,3
2.043,2
2.044,2
2.045,2
2.046,3
2.047,1
2.048,2
2.049,3
2.050,2
2.051,1
2.052,1
2.053,3
2.054,1
2.055,2
2.056,3
2.057,1
2.058,2
2.059,1
2.060,3
2.061,2
2.062,3
2.063,1
2.064,3
2.065,2
2.066,3
2.067,1
2.068,3
2.069,3
2.070,2
2.071,3
2.072,1
2.073,1
2.074,2
2.075,3
2.076,2
2.077,1
2.078,1
2.079,1
2.080,2
2.081,1
2.082,3
2.083,3
2.084,1
2.085,3
2.086,2
2.087,1
2.088,2
2.089,3
2.090,1
2.091,2
2.092,3
2.093,2
2.094,1
2.095,1
2.096,3
2.097,2
2.098,1
2.099,3
2.100,2
2.101,3
2.102,3
2.103,1
2.104,1
2.105,2
2.106,3
2.107,1
2.108,3
2.109,1
2.110,1
2.111,3
2.112,3
2.113,2
2.114,1
2.115,3
2.116,1
2.117,1
2.118,2
2.119,2
2.120,3
2.121,1
2.122,3
2.123,3
2.124,3
2.125,1
2.126,2
2.127,2
2.128,1
2.129,1
2.130,3
2.131,1
2.132,3
2.133,1
2.134,2
2.135,1
2.136,3
2.137,1
2.138,2
2.139,3
2.140,2
2.141,3
2.142,1
2.143,2
2.144,1
2.145,3
2.146,3
2.147,2
2.148,2
2.149,3
2.150,1
3.001,2
3.002,3
3.003,2
3.004,3
3.005,2
3.006,3
3.007,1
3.008,2
3.009,3
3.010,2
3.011,2
3.012,2
3.013,2
3.014,3
3.015,2
3.016,1
3.017,1
